category,image_url,number_of_product_in_a_package,price_gross,price_net,product_title,product_url,quantity_in_stock,size,status
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/04/anh_Viber_2022-04-07_16-46-06-914.jpg,,"94,71","77,00",JJ09 BEIGE,https://e-roberto.eu/sklep/jj09-beige/,588,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLACK-39.jpg,,"80,57","65,50",RB85 BLACK,https://e-roberto.eu/sklep/rb85-black/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLACK-38.jpg,,"105,78","86,00",RB132 BLACK,https://e-roberto.eu/sklep/rb132-black/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/RED-2.jpg,,"105,78","86,00",RB132 RED,https://e-roberto.eu/sklep/rb132-red/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/CAMEL-12.jpg,,"80,57","65,50",RB85 CAMEL,https://e-roberto.eu/sklep/rb85-camel/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLUE.jpg,,"105,78","86,00",RB132 BLUE,https://e-roberto.eu/sklep/rb132-blue/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/CAMEL-11.jpg,,"70,11","57,00",YK07 CAMEL,https://e-roberto.eu/sklep/yk07-camel/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/buty-wolka-3-9-600x599.jpg,,"51,05","41,50",ST03 GREY,https://e-roberto.eu/sklep/st03-grey/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLACK-36.jpg,,"70,11","57,00",YK07 BLACK,https://e-roberto.eu/sklep/yk07-black/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/QT19BLUE.jpg,,"75,03","61,00",QT19 BLUE,https://e-roberto.eu/sklep/qt19-blue/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/GREY-3.jpg,,"70,11","57,00",YK07 GREY,https://e-roberto.eu/sklep/yk07-grey/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/buty-wolka-1-31-600x600.jpg,,"51,05","41,50",ST03 CAMEL,https://e-roberto.eu/sklep/st03-camel/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/buty-wolka-5-6.jpg,,"64,58","52,50",ST35 BROWN,https://e-roberto.eu/sklep/st35-brown/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/x-9701-2-2.jpg,,"83,64","68,00",QT09 BEIGE,https://e-roberto.eu/sklep/qt09-beige/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/buty-wolka-3-8.jpg,,"64,58","52,50",ST35 CAMEL,https://e-roberto.eu/sklep/st35-camel/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/QT19PINK.jpg,,"75,03","61,00",QT19 PINK,https://e-roberto.eu/sklep/qt19-pink/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/buty-wolka-7-5-600x600.jpg,,"51,05","41,50",ST03 BLACK,https://e-roberto.eu/sklep/st03-black/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/QT19GREEN.jpg,,"75,03","61,00",QT19 GREEN,https://e-roberto.eu/sklep/qt19-green/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/QT19CAMEL.jpg,,"75,03","61,00",QT19 CAMEL,https://e-roberto.eu/sklep/qt19-camel/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/8369CAM.jpg,,"41,21","33,50",8369 CAMEL,https://e-roberto.eu/sklep/8369-camel/,408,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/buty-wolka-2-18.jpg,,"64,58","52,50",ST35 BLACK,https://e-roberto.eu/sklep/st35-black/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2022/02/pol_pm_Botki-wyciete-cut-out-z-lancuszkiem-CUPRO-BLACK-30451_3.jpg,,"76,88","62,50",ST72 BLACK,https://e-roberto.eu/sklep/st72-black/,936,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/272954558_1296245220858268_5834467372328633049_n.jpg,,"57,2","46,50",LA192 BLACK,https://e-roberto.eu/sklep/la192-black/,948,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/anh_Viber_2022-02-01_13-50-19-426.jpg,,"57,2","46,50",LA192 KOLOR DO WYBORU,https://e-roberto.eu/sklep/la192-kolor-do-wyboru/,948,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2022/01/anh_Viber_2022-01-10_10-09-24-615.jpg,,"93,48","76,00",NS255 BEIGE,https://e-roberto.eu/sklep/ns255-beige/,348,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/QT19-GREY.jpg,,"75,03","61,00",QT19 GREY,https://e-roberto.eu/sklep/qt19-grey/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/11/271949808_1505906559809453_5569390325953254808_n.jpg,,"86,1","70,00",NC1252 BEIGE,https://e-roberto.eu/sklep/nc1252-beige/,312,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/CAMEL-4.jpg,,"36,28","29,50",A3710-32 CAMEL,https://e-roberto.eu/sklep/a3710-32-camel/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2022/01/272022105_1288837408265716_5835766581345453577_n.jpg,,"96,56","78,50",NC1263 BEIGE,https://e-roberto.eu/sklep/nc1263-beige/,600,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2022/01/anh_Viber_2022-01-20_19-20-49-624.jpg,,"65,8","53,50",UK75 KHAKI,https://e-roberto.eu/sklep/uk75-khaki/,360,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2022/01/anh_Viber_2022-01-10_10-09-25-122.jpg,,"93,48","76,00",NS255 BLACK,https://e-roberto.eu/sklep/ns255-black/,396,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2021/10/249897359_1020818428709241_8885053390433295812_n.jpg,,"38,74","31,50",F071 KHAKI,https://e-roberto.eu/sklep/f071-khaki/,360,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2022/01/269609010_1288837394932384_7871791439226081177_n.jpg,,"96,56","78,50",NC1263 KHAKI,https://e-roberto.eu/sklep/nc1263-khaki/,600,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2021/10/DSC_0427-600x600.jpg,,"84,87","69,00",JJ07 BEIGE,https://e-roberto.eu/sklep/jj07-beige/,24,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2022/01/anh_Viber_2022-01-20_19-20-49-865.jpg,,"65,8","53,50",UK75 BEIGE,https://e-roberto.eu/sklep/uk75-beige/,360,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/07/271226627_1279207082562082_3420655245750177737_n.jpg,,"96,56","78,50",NC1263 BLACK,https://e-roberto.eu/sklep/nc1263-black/,600,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2021/10/deportivas-calcetin-cadena-negras.jpg,,"38,74","31,50",F071 BLACK,https://e-roberto.eu/sklep/f071-black/,360,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/01/DSC_0361-600x600.jpg,,"31,37","25,50",6126 WHITE,https://e-roberto.eu/sklep/6126-white/,576,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BEIGE-14.jpg,,"70,11","57,00",YK07 BEIGE,https://e-roberto.eu/sklep/yk07-beige/,960,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/01/IMG_3356-600x600.jpg,,"48,59","39,50",828 WHITE,https://e-roberto.eu/sklep/828-white/,240,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BEIGE-13.jpg,,"86,1","70,00",NC1205 BEIGE,https://e-roberto.eu/sklep/nc1205-beige/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/x-9701-3-1.jpg,,"83,64","68,00",QT09 BLACK,https://e-roberto.eu/sklep/qt09-black/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/LL102.jpg,,"23,99","19,50",LL102,https://e-roberto.eu/sklep/ll102/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLACKK-2.jpg,,"86,1","70,00",NC1205 BLACK,https://e-roberto.eu/sklep/nc1205-black/,960,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/04/anh_Viber_2022-04-07_16-45-57-573.jpg,,"94,71","77,00",JJ09 BLACK,https://e-roberto.eu/sklep/jj09-black/,504,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/04/1b44c646de15d2327141b8834f41e52b.jpg,,"36,28","29,50",T-28 FUSHIA,https://e-roberto.eu/sklep/t-28-fushia/,96,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/UK57.jpg,,"86,1","70,00",UK57 BEIGE,https://e-roberto.eu/sklep/uk57-beige/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLACK-17.jpg,,"86,1","70,00",UK57 BLACK,https://e-roberto.eu/sklep/uk57-black/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLACK-18.jpg,,"91,02","74,00",UK37 BLACK,https://e-roberto.eu/sklep/uk37-black/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/QT19-WHITE.jpg,,"75,03","61,00",QT19 WHITE,https://e-roberto.eu/sklep/qt19-white/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLACK-16.jpg,,"78,11","63,50",DA72 BLACK,https://e-roberto.eu/sklep/da72-black/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/x-9701-3.jpg,,"86,1","70,00",NC1177 BLACK,https://e-roberto.eu/sklep/nc1177-black/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLACK-35.jpg,,"75,03","61,00",NC1171 BLACK,https://e-roberto.eu/sklep/nc1171-black/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BEIGE1.jpg,,"91,02","74,00",UK37 BEIGE,https://e-roberto.eu/sklep/uk37-beige/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/RB131-GREEN.jpg,,"87,33","71,00",RB131 GREEN,https://e-roberto.eu/sklep/rb131-green/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/QT19-BEIGE.jpg,,"75,03","61,00",QT19 BEIGE,https://e-roberto.eu/sklep/qt19-beige/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/RB131-BLUE.jpg,,"87,33","71,00",RB131 BLUE,https://e-roberto.eu/sklep/rb131-blue/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/anh_Viber_2021-10-01_17-54-47-621-600x600.jpg,,"44,9","36,50",C753 BLACK,https://e-roberto.eu/sklep/c753-black/,360,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/RB131-PINK.jpg,,"87,33","71,00",RB131 PINK,https://e-roberto.eu/sklep/rb131-pink/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/buty-wolka-3-7.jpg,,"41,21","33,50",ST22 BEIGE,https://e-roberto.eu/sklep/st22-beige/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/QT19-BACK.jpg,,"75,03","61,00",QT19 BLACK,https://e-roberto.eu/sklep/qt19-black/,948,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/buty-wolka-4-15-600x600.jpg,,"23,99","19,50",KL-198 BLACK,https://e-roberto.eu/sklep/kl-198-black/,948,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/buty-wolka-5-12.jpg,,"39,98","32,50",G-7683 CAMEL,https://e-roberto.eu/sklep/g-7683-camel/,948,,
